POLICY_ID,CLAIM_NB,CLAIM_TOTAL_AMOUNT
139,1,303.0
190,1,1981.84
414,1,1456.55
424,2,10834.0
463,1,3986.67
606,1,1840.14
622,1,1397.97
811,1,971.98
830,1,1442.75
975,1,637.41
1226,1,3048.98
1301,1,4573.47
1323,1,384.77
1349,1,185.98
1534,1,671.05
1552,2,2840.94
1669,1,724.03
1671,1,3401.9
1741,1,2975.68
1870,1,1692.29
1963,1,422.05
1967,1,76.22
2058,1,704.18
2085,2,1852.2800000000002
2199,1,564.35
2222,1,3365.37
2284,1,1761.37
2311,1,553.09
2375,1,631.36
2540,1,6467.65
2606,1,1322.75
2689,1,885.28
2776,2,9240.11
2869,1,1878.72
3131,1,1219.51
3227,1,984.07
3280,1,3647.26
3351,1,1183.63
3362,1,4166.79
3407,1,1096.52
3468,2,791.78
3801,1,5451.29
3895,1,6239.07
3897,1,12555.36
3940,1,1551.38
4094,1,1309.81
4178,1,326.57
4214,1,409.13
4232,2,1473.79
4263,1,549.21
4376,1,433.89
4663,1,1746.38
4718,1,575.19
5038,1,1440.4
5062,1,1405.75
5170,1,787.66
5181,1,191.15
5244,1,5340.29
5246,1,378.33
5319,2,32186.45
5477,1,830.36
5741,1,3950.26
5973,1,1662.96
6031,1,680.7
6109,1,600.21
6242,1,594.76
6294,1,83.14
6331,1,553.22
6375,1,2031.77
6477,1,893.56
6575,1,90.24
6785,1,581.21
6886,1,83.87
6937,2,1175.0
7123,1,579.14
7222,1,407.09
7232,1,891.75
7330,1,647.34
7465,1,2101.04
7489,1,74.23
7652,1,2767.64
7655,1,734.81
7741,1,626.68
7757,1,742.73
7779,1,79.86
7924,1,746.84
8077,1,72.93
8092,1,712.13
8652,1,564.45
8912,1,1449.64
9501,1,1037.95
9589,1,1181.77
9954,1,1284.45
9993,1,1826.34
10175,1,343.21
10741,1,6241.73
16650,1,1128.12
16661,1,1626.6
16712,1,109.38
16842,1,1128.12
16939,1,3560.09
16948,2,1206.52
16961,1,1006.88
16962,1,1128.12
16985,1,1128.12
17000,1,1021.82
17006,1,1128.12
17023,1,84.3
17087,1,1128.12
17125,1,1128.12
17171,1,109.56
17265,1,1544.32
17279,1,820.58
17288,1,1128.12
17450,1,1128.12
17520,1,316.62
17599,1,1700.93
17635,1,1128.12
17678,1,1128.12
17681,1,520.32
17711,1,69348.0
17717,1,1128.12
17850,1,92.99
17948,1,649.46
18037,1,1128.12
18070,1,258.15
18085,1,1128.12
18134,1,5468.42
18165,1,3714.99
18179,1,25074.81
18301,1,2514.57
18417,1,57.77
18464,1,10.16
18492,1,1128.12
18549,1,1128.12
18698,2,2256.24
18718,1,1253.0
18735,1,1128.12
18748,1,1128.12
18761,1,367.49
18815,1,13.38
18840,1,1128.12
18844,1,7165.1
18854,1,735.57
18869,1,234.15
18916,1,66458.9
18926,1,770.54
19064,1,956.84
19170,1,1128.12
19190,1,2703.84
19195,2,10850.96
19220,1,772.17
19280,1,1232.63
19326,1,2332.41
19343,1,1128.12
19374,1,63.86
19424,1,1128.12
19525,1,1128.12
19548,1,1128.12
19591,1,679.91
19642,1,1057.94
19677,1,240.86
19731,1,1128.12
19831,1,1368.55
19857,1,504.93
19871,1,1128.12
19883,1,30829.41
19887,2,2256.24
19962,1,1128.12
20001,1,4836.6
20012,1,215.84
20072,1,500.0
20126,1,1189.41
20299,1,1128.12
20319,1,402.79
20324,1,1128.12
20394,1,795.38
20462,1,2163.72
20503,1,2821.16
20513,1,858.28
20558,1,1128.12
20734,1,1128.12
20761,1,1128.12
20769,1,1128.12
20778,1,1128.12
20867,1,1128.12
20881,1,3115.36
20918,1,1128.12
20924,1,569.2
20946,1,716.23
21024,1,587.73
21039,1,217.89
21060,1,1128.12
21068,1,1721.48
21155,1,10407.2
21180,1,161.03
21222,1,1128.12
21271,1,1128.12
21292,1,1128.12
21328,1,1128.12
21343,1,1128.12
21357,2,1718.91
21359,1,492.97
21432,1,1128.12
21462,1,1152.45
21549,1,1128.12
21575,1,1128.12
21602,1,133.39
21663,1,1128.12
21701,1,75.32
21773,1,1128.12
21825,1,1085.44
21846,1,3407.2
21856,1,366.4
21905,1,68.92
21940,1,1128.12
21969,1,1247.73
21974,1,1128.12
21988,1,92.43
22044,1,1128.12
22079,1,71.47
22111,1,1128.12
22231,1,1250.08
22234,1,1320.24
22289,1,1128.12
22300,1,1957.96
22303,1,66.32
22350,1,2839.2
22364,1,914.09
22479,1,139.65
22576,1,1128.12
22652,1,1128.12
22695,1,64.0
22729,1,3921.13
22743,1,1128.12
22752,1,400.15
22787,1,1128.12
22816,1,564.06
22838,1,1128.12
22870,1,462.01
22889,1,1128.12
22913,1,304.9
22925,2,1392.52
22936,1,76.11
22965,1,1128.12
22984,1,1128.12
23018,1,867.21
23097,1,1128.12
23145,1,1128.12
23150,1,538.15
23164,1,208.13
23167,1,62.56
23172,1,1128.12
23236,1,1128.12
23250,1,79.13
23325,1,42.76
23336,1,1128.12
23370,1,2564.57
23397,1,1128.12
23422,1,7622.45
23427,1,1128.12
23433,1,1128.12
23459,1,1128.12
23489,1,3000.0
23514,1,84.09
23528,1,7902.51
23586,1,1472.37
23587,1,1128.12
23692,1,1128.12
23707,1,389.21
23730,1,1128.12
23891,1,803.14
23895,1,405.91
23945,1,4817.74
23980,1,1387.24
23985,1,672.48
24032,1,1377.95
24072,1,564.06
24081,1,97.13
24110,1,2174.7
24144,1,1128.12
24169,1,963.35
24313,1,1491.02
24346,1,1865.73
24388,1,55.96
24415,1,1128.12
24445,1,7083.38
24478,1,1128.12
24569,1,50.46
24771,1,57.74
24783,1,135.7
24936,1,700.0
24951,1,364.81
24992,2,2256.24
25040,1,26665.92
25068,1,1128.12
25071,1,273.88
25130,1,431.18
25313,1,1128.12
25395,1,1128.12
25421,1,4749.75
25472,1,84.97
25489,1,1009.69
25509,2,3293.02
25633,1,1128.12
25729,1,1393.49
25744,1,1128.12
25755,1,2081.53
25763,2,2256.24
25781,1,466.51
25789,1,1824.17
25799,1,324.21
25838,1,1128.12
25847,1,696.7
25863,1,1128.12
25882,1,528.35
25890,1,407.21
25906,1,1246.34
25916,1,264.53
25922,1,1128.12
25942,1,1128.12
25944,1,93.87
26156,1,1128.12
26242,1,1037.89
26255,1,1128.12
26313,1,584.51
26380,1,991.68
26387,1,1189.75
26395,1,1128.12
26438,1,241.34
26480,1,154.98
26551,1,1623.46
26584,1,1128.12
26647,1,1128.12
26684,1,1128.12
26712,1,1128.12
26746,1,1134.09
26769,1,1128.12
26815,1,1128.12
26825,1,826.83
26871,1,1128.12
26931,1,108.64
26959,1,1128.12
27024,1,36.95
27105,1,92.37
27133,1,317.51
27224,1,4605.54
27242,1,2473.95
27252,1,560.09
27310,1,1128.12
27455,1,2487.55
27507,1,3330.28
27509,1,1782.95
27519,1,5907.42
27524,1,1128.12
27539,1,1128.12
27577,1,1128.12
27660,1,1128.12
27728,1,1128.12
27748,1,2652.61
27836,1,1128.12
27886,1,1128.12
27926,1,1128.12
27951,1,71.47
27988,1,1128.12
28045,1,1128.12
28068,1,3848.47
28070,1,329.2
28087,1,1128.12
28168,1,1496.45
28210,1,1128.12
28218,1,1128.12
28233,1,564.06
28303,1,1399.65
28309,1,172.25
28321,1,1128.12
28328,1,1128.12
28378,1,1128.12
28462,1,65.27
28509,1,115232.88
28523,1,1128.13
28610,1,1128.12
28615,1,1128.12
28702,1,1187.79
28705,1,1128.12
28742,1,1128.12
28928,1,245.99
28939,1,148.79
28987,1,757.58
29067,1,507.65
29076,1,681.62
29091,1,1191.57
29111,1,1128.12
29136,1,614.49
29140,1,327.79
29148,1,255.43
29240,2,2143.11
29266,1,915.82
29282,1,1128.0
29349,1,1128.12
29371,1,102.72
29378,1,1128.12
29392,1,21.15
29426,1,1128.12
29434,1,1128.12
29469,1,1128.12
29493,1,1023.89
29519,1,4343.73
29543,1,92.77
29567,2,2256.24
29669,1,1128.12
29694,1,1208.7
29706,1,187.89
29755,2,1229.5700000000002
29761,1,424.26
29778,1,1128.12
29878,1,1987.24
29913,1,1128.12
29993,1,1128.12
30011,1,1392.37
30056,1,229.69
30080,1,1106.4
30125,1,1128.12
30210,1,1128.12
30212,1,890.29
30217,1,1128.12
30308,1,1128.12
30353,1,1580.23
30394,1,1128.12
30402,1,626.7
30411,1,1128.12
30423,1,921.31
30441,1,1128.12
30477,1,1190.15
30479,1,564.0
30519,1,1128.12
30655,1,1472.37
30688,1,3195.03
30697,1,1128.12
30714,1,1825.08
30718,1,1936.46
30738,1,116318.9
30746,1,986.46
30959,1,1128.12
31013,1,1128.12
31022,1,1433.02
31073,1,1374.08
31092,1,4272.37
31106,1,1128.12
31134,1,15316.87
31160,1,243.52
31166,1,2814.71
31182,1,1128.12
31194,1,2589.5
31259,1,474.22
31261,1,1128.12
31265,1,1128.12
31359,1,1128.12
31380,1,1128.13
31437,1,1128.12
31466,1,1128.12
31490,1,533.57
31504,1,1128.12
31507,1,3687.53
31531,1,1128.12
31540,1,2075.68
31559,1,1128.12
31564,1,1128.12
31641,1,1128.12
31658,1,623.56
31685,1,1128.12
31752,1,1199.39
31753,1,1128.12
31774,1,531.32
31817,1,564.06
31822,1,1128.12
31877,1,1128.12
31878,1,1128.12
31966,1,1128.12
32018,1,39.0
32039,1,1087.56
32096,1,1077.15
32133,1,153.83
32135,1,3230.1
32162,1,1128.12
32187,1,1128.12
32300,1,373.36
32404,1,1280.57
32472,1,90.27
32473,1,1128.12
32487,1,1128.12
32593,1,2037.72
32603,1,630.46
32619,1,91.71
32686,1,2715.79
32695,1,1128.12
32706,1,309.29
32735,1,8363.96
32776,1,4602.32
32819,1,25.66
32867,1,1163.61
32901,1,1128.12
32931,1,319.21
32969,1,1128.12
33001,1,1128.12
33071,1,586.08
33102,1,1128.12
33124,1,335.33
33129,1,1128.12
33137,1,1128.12
33157,1,3921.7
33201,1,1303.48
33243,1,1128.12
33264,1,1827.99
33268,1,1128.12
33299,1,92.91
33321,1,256.67
33325,1,1128.12
33385,1,1128.12
33428,1,1643.48
33431,1,868.93
33470,1,1128.12
33488,1,399.66
33523,1,1128.12
33552,1,1128.12
33589,1,286.51
33602,1,2237.49
33708,1,913.52
33739,1,1120.12
33812,1,84.56
33822,1,641.72
33830,1,1128.12
33834,1,1206.53
33865,1,1128.12
33905,1,1128.12
33946,1,1128.12
33982,1,59.61
34000,1,956.6
34039,1,1128.12
34192,1,1128.12
34195,1,77.12
34273,1,2132.54
34286,1,787.17
34367,1,2280.57
34369,1,4644.02
34415,1,1128.12
34544,1,75.32
34595,1,1128.12
34713,1,459.14
34719,1,364.81
34720,1,1128.12
34727,1,1745.23
34736,1,1733.76
34738,1,324.04
34754,1,156.68
34865,1,1128.12
34932,1,1430.17
34994,1,65.64
35015,1,1863.17
35028,1,1128.12
35072,1,1128.12
35084,1,3518.73
35104,1,70.78
35125,1,2723.29
35149,1,1128.12
35159,1,1128.12
35195,1,2354.13
35243,1,1372.04
35266,1,98.23
35280,1,12696.8
35295,1,8009.82
35297,1,4573.47
35381,1,1128.12
35392,1,1727.13
35447,1,1128.12
35452,1,35600.44
35473,1,52.75
35500,1,1128.12
35515,1,1128.12
35642,1,1668.01
35648,1,1128.12
35702,1,1128.12
35779,1,1128.12
35785,1,602.17
35799,1,1128.12
36008,1,1128.12
36009,1,1128.12
36057,1,1706.06
36078,1,1128.12
36083,1,1390.42
36092,1,1128.12
36180,2,1198.32
36186,1,2074.64
36195,1,1729.16
36204,1,1128.12
36238,1,1128.12
36264,1,1128.12
36271,1,564.06
36350,1,1128.12
36372,1,1128.0
36447,1,149.72
36457,1,3507.13
36475,1,64.34
36499,1,192.16
36506,1,1128.12
36587,1,1128.12
36615,1,1495.88
36617,1,493.97
36763,1,1128.12
36764,1,1520.13
36785,1,129.32
36835,1,1128.12
36845,1,1128.12
36870,1,1020.65
36880,1,1128.12
36890,1,1128.12
36906,1,37.12
36935,1,1128.12
36945,1,1128.12
36959,2,5742.91
36978,1,1128.12
36988,1,1128.12
36997,1,1128.12
36999,1,844.77
37025,1,77.49
37043,1,1128.12
37049,1,1128.12
37050,1,2693.32
37237,1,177.38
37253,2,3975.75
37261,1,1128.12
37329,1,4114.97
37454,1,1128.12
37478,1,244.49
37509,1,12142.1
37523,1,3052.27
37575,1,1128.12
37608,1,1454.08
37627,1,1128.12
37656,1,406.8
37666,1,1128.12
37668,1,2101.42
37677,1,1128.12
37715,1,441.8
37727,1,1874.21
37815,1,87.81
37826,1,2256.24
37874,1,167.69
37879,1,263.92
37931,1,1128.12
37966,1,2631.73
37998,1,89.03
38153,1,3715.61
38174,1,1128.12
38264,1,410.62
38335,1,403.4
38367,1,1461.34
38369,1,423.01
38412,1,1015.35
38420,1,1128.12
38485,1,508.49
38500,1,2465.44
38551,1,1128.12
38634,1,1128.12
38727,1,8348.92
38729,1,1128.12
38756,1,2080.35
38789,1,1128.12
38838,1,766.05
38858,1,1128.12
38861,1,507.35
38874,1,478.99
38875,1,1128.12
38963,1,382.13
38991,1,76.17
39000,1,1128.12
39016,1,579.7
39021,1,1128.12
39034,1,87.33
39143,1,427.65
39157,1,352.06
39159,1,1128.12
39161,1,1409.82
39171,1,1128.12
39190,1,6053.65
39206,1,1128.12
39219,1,1128.12
39248,1,1128.12
39319,1,1128.12
39342,1,71.11
39374,1,1128.12
39391,1,253.11
39463,2,1242.08
39469,1,1128.12
39481,1,812.95
39526,1,195.18
39559,1,1128.12
39597,1,1200.5
39620,1,1128.12
39638,1,1128.12
39642,1,1356.79
39732,1,82.23
39739,1,1681.34
39771,1,131.59
39784,1,5086.8
39793,1,1128.12
39794,1,201.6
39805,1,2652.61
39819,1,1128.12
39826,1,904.17
39832,1,1055.38
39875,1,1128.12
39879,1,1128.12
39941,1,1128.12
39980,1,578.77
39994,1,712.96
40012,1,1128.12
40025,1,1067.17
40048,1,2652.49
40049,1,1128.12
40051,2,1751.65
40095,1,409.15
40123,1,1128.12
40162,1,74.39
40185,1,1128.12
40206,1,2652.61
40219,1,1196.49
40251,1,1362.9
40288,1,6530.45
40339,1,642.29
40341,1,1128.12
40346,2,2683.6899999999996
40351,1,2386.66
40367,1,1128.12
40383,1,328.06
40389,1,692.75
40412,1,1128.12
40413,1,1128.12
40434,1,1128.12
40555,1,1128.12
40565,1,668.61
40571,1,1128.12
40625,1,43742.04
40664,1,1128.12
40671,1,1128.12
40681,1,132.28
40718,1,1128.12
40746,1,1253.08
40866,1,1128.12
40869,1,1128.12
40879,1,1128.12
40883,1,564.54
40884,1,647.33
40899,1,1128.12
40960,1,2071.37
40994,1,1128.12
41037,1,1128.0
41052,1,1128.12
41056,1,2652.61
41098,1,1128.12
41122,1,1128.12
41145,1,1128.12
41153,1,4023.06
41175,1,853.21
41187,1,1636.81
41209,1,220.68
41227,1,1741.18
41300,1,564.06
41311,1,1128.12
41320,1,2423.09
41402,1,780.12
41418,1,453.58
41422,1,1206.52
41434,1,4224.35
41455,1,1128.12
41472,1,1128.12
41497,1,388.89
41513,2,1830.8500000000001
41630,1,1128.12
41713,1,1128.12
41723,1,1031.21
41727,1,1128.12
41738,1,360.43
41782,1,1128.12
41847,1,1128.12
41848,1,1128.12
41863,1,508.62
41885,1,75.92
41912,1,1128.12
41945,1,1128.12
41958,1,963.42
41960,1,564.06
41963,1,1128.12
41970,1,3154.62
41976,1,67.46
41988,1,1128.12
41990,1,3396.56
41996,1,74.38
42002,1,369.42
42042,2,1605.4299999999998
42087,1,2615.9
42162,1,4022.95
42187,1,568.83
42230,1,1128.12
42239,1,173.53
42263,1,1128.12
42304,1,1128.12
42308,1,1128.12
42352,1,489.28
42428,1,1128.12
42447,1,1243.6
42455,1,1128.12
42479,1,283.22
42504,1,1128.12
42514,1,1218.4
42522,1,81.78
42549,1,1232.83
42650,1,1128.12
42739,1,925.07
42761,1,3121.15
42766,1,16.56
42777,1,1128.12
42785,1,167.37
42790,1,74.51
42842,1,1261.33
42852,1,945.23
42931,1,317.76
43047,1,903.3
43105,1,1128.12
43154,1,501.09
43158,1,897.03
43200,1,1128.12
43216,1,670.15
43219,1,2122.31
43234,1,149.31
43261,1,1128.12
43264,1,1128.12
43275,1,1128.12
43287,1,3812.15
43294,1,2877.34
43298,1,564.06
43312,1,1118.71
43325,1,3552.06
43343,1,740.65
43357,1,1128.12
43421,1,1128.12
43436,1,469.05
43438,1,1128.12
43467,1,1206.06
43471,1,1128.12
43491,1,3828.89
43525,1,1128.12
43527,1,290.59
43725,1,405.11
43729,1,1128.12
43832,1,96422.32
43850,1,1159.74
43859,1,187.31
43864,1,1128.12
43874,1,1128.12
44078,1,1128.12
44106,1,1128.12
44111,1,1128.12
44191,1,1234.4
44216,1,479.7
44370,1,2250.06
44378,1,1128.12
44384,1,1128.12
44394,1,1128.12
44416,1,130.14
44539,1,9909.19
44544,1,245.81
44576,1,67.46
44604,1,1128.12
44643,1,1128.12
44649,1,564.06
44654,1,626.6
44662,1,10057.0
44684,1,1571.64
44688,1,88.42
44765,1,70.2
44778,1,72.93
44799,1,1128.12
44822,1,474.82
44833,1,1128.12
44855,1,1128.12
44876,1,637.34
44885,1,1128.12
44920,1,1128.12
44922,1,1191.52
44952,1,1128.12
44958,1,1128.12
44979,1,2886.46
45017,1,1430.73
45021,1,456.74
45039,1,1128.12
45087,1,1128.12
45112,1,1128.12
45155,1,1128.12
45161,1,1128.12
45164,1,284.7
45172,1,1128.12
45182,2,2143.52
45195,1,1128.12
45235,1,1210.5
45252,1,1128.12
45277,1,1128.12
45291,1,499.2
45310,1,418.68
45322,1,1347.58
45346,1,4861.61
45366,1,1128.12
45414,2,9592.369999999999
45425,1,541.5
45478,1,1128.12
45543,1,1128.12
45558,1,845.29
45561,1,1128.12
45567,1,1638.1
45591,1,1222.93
45631,1,206.34
45886,1,2425.45
45966,1,1128.12
46130,1,1128.12
46187,1,1128.12
46204,1,4644.55
46246,1,1128.12
46252,1,236.54
46274,1,1128.12
46292,1,1128.12
46313,1,9.63
46357,1,338.38
46424,1,1128.12
46462,1,1128.12
46487,1,202.78
46553,1,1128.12
46554,1,64.72
46607,1,1128.12
46620,1,35.92
46683,1,6447.85
46735,1,1128.12
46796,1,1128.12
46839,1,1128.12
46849,1,2145.65
46859,1,114.54
46872,1,1128.12
46884,1,1128.12
46885,1,1128.12
46886,1,2030.28
46916,1,1128.12
46980,1,1128.12
47002,1,1128.12
47011,1,873.26
47029,1,1128.12
47204,1,1128.12
47223,1,1128.12
47307,1,72.56
47418,1,3695.26
47445,1,1128.12
47449,1,1128.12
47491,1,1128.12
47526,1,36.94
47567,1,1184.92
47586,1,1128.12
47622,1,5.89
47647,2,499.49
47651,1,3601.01
47682,1,1128.12
47691,1,1052.67
47721,1,82.05
47745,1,1128.12
47757,1,1128.12
47844,1,1128.12
47891,1,171.47
47904,1,38.78
47912,2,2256.24
47913,1,1128.12
47977,1,1577.95
47996,1,1128.12
48058,1,1128.12
48076,1,769.11
48096,1,5459.92
48101,1,77.22
48136,1,671.57
48174,3,2383.68
48361,1,1128.12
48372,1,259.0
48401,1,44.73
48449,1,1128.12
48473,1,4417.33
48506,1,174.87
48542,1,1536.55
48609,1,1179.88
48633,1,564.06
48639,1,3758.11
48651,1,157.85
48692,1,4143.85
48693,1,4982.77
48723,2,11574.509999999998
48742,1,15867.74
