AREA,VEH_POWER,VEH_AGE,DRIV_AGE,BONUS_MALUS,VEH_BRAND,VEH_GAS,DENSITY,REGION,CLAIM_NB,CLAIM_MEAN_AMOUNT_CAPPED
F,7.0,1,61.0,50,B12,Regular,27000,R11,1.0,303.0
B,12.0,5,50.0,60,B12,Diesel,56,R25,1.0,1981.84
,4.0,0,36.0,85,,Regular,4792,R11,1.0,1456.55
F,10.0,0,51.0,100,B12,Regular,27000,R11,2.0,5417.0
A,5.0,0,45.0,50,B12,Regular,12,R73,1.0,3986.67
D,10.0,6,54.0,50,B12,Diesel,583,R93,1.0,1840.14
D,5.0,0,34.0,64,B12,Regular,1565,R31,1.0,1397.97
E,5.0,0,44.0,50,B12,Regular,3317,R93,1.0,971.98
E,4.0,10,24.0,105,B1,Regular,3064,R11,1.0,1442.75
D,9.0,0,60.0,50,B12,Regular,570,R93,1.0,637.41
B,7.0,7,28.0,80,B12,Diesel,65,R21,1.0,3048.98
D,6.0,0,76.0,50,B12,Regular,543,R91,1.0,4573.47
E,8.0,4,67.0,72,B12,Regular,2674,R93,1.0,384.77
C,5.0,0,39.0,57,B12,Diesel,177,R93,1.0,185.98
B,4.0,0,47.0,50,B12,Regular,79,R91,1.0,671.05
D,11.0,0,39.0,56,B12,Diesel,778,R22,2.0,1420.47
D,9.0,0,35.0,67,B12,Regular,1139,R11,1.0,724.03
E,6.0,0,74.0,50,B12,Regular,3132,R11,1.0,3401.9
E,6.0,8,49.0,100,B1,Regular,9082,R11,1.0,2975.68
C,5.0,0,52.0,50,B12,Regular,428,R73,1.0,1692.29
E,9.0,0,78.0,50,B12,Regular,2580,R72,1.0,422.05
F,10.0,8,50.0,51,B12,Regular,27000,R11,1.0,76.22
C,9.0,1,51.0,70,B12,Regular,480,R22,1.0,704.18
C,9.0,0,50.0,50,B12,Regular,353,R72,2.0,926.14
A,5.0,0,,50,B12,Diesel,23,R52,1.0,564.35
E,5.0,0,22.0,100,B12,Regular,4408,R11,1.0,3365.37
C,6.0,0,35.0,72,B12,Regular,495,R91,1.0,1761.37
E,5.0,0,47.0,50,B12,Regular,5936,R11,1.0,553.09
E,5.0,1,52.0,50,B12,Regular,3430,R93,1.0,631.36
E,7.0,2,71.0,60,B12,Regular,2201,R11,1.0,6467.65
E,7.0,0,45.0,60,B12,Diesel,6570,R11,1.0,1322.75
F,7.0,5,32.0,100,B12,Regular,15725,R11,1.0,885.28
E,12.0,9,53.0,100,B12,Regular,3110,R11,2.0,4620.055
,4.0,0,48.0,50,B12,Regular,726,R91,1.0,1878.72
E,10.0,0,61.0,72,B12,Regular,5433,R93,1.0,1219.51
,6.0,7,47.0,50,B4,Regular,2498,R72,1.0,984.07
A,9.0,0,54.0,50,B12,Regular,34,R26,1.0,3647.26
E,4.0,0,51.0,50,B12,Regular,2580,R72,1.0,1183.63
D,4.0,0,26.0,80,B12,Regular,610,R91,1.0,4166.79
F,9.0,0,68.0,50,B12,Regular,17140,R11,1.0,1096.52
C,10.0,0,53.0,50,B12,Diesel,112,R93,2.0,395.89
D,10.0,4,,50,B12,Regular,1693,R82,1.0,5451.29
C,7.0,8,29.0,60,B1,Regular,325,R41,1.0,6239.07
E,4.0,0,43.0,50,B12,Regular,3317,R93,1.0,12555.36
E,10.0,0,48.0,50,B12,Diesel,9307,R82,1.0,1551.38
B,12.0,3,28.0,76,B12,Diesel,59,R11,1.0,1309.81
A,5.0,0,36.0,50,B12,Regular,17,R94,1.0,326.57
F,8.0,8,51.0,100,B12,Regular,27000,R11,1.0,409.13
F,7.0,0,51.0,50,B12,Regular,27000,R11,2.0,736.895
C,10.0,7,27.0,76,B12,Diesel,162,R52,1.0,549.21
E,5.0,6,28.0,68,B3,Diesel,3317,R93,1.0,433.89
F,11.0,0,39.0,76,B12,Diesel,27000,R11,1.0,1746.38
,6.0,0,35.0,64,B12,Regular,949,R24,1.0,575.19
E,7.0,5,30.0,85,B12,Diesel,3744,R93,1.0,1440.4
F,5.0,0,25.0,80,B3,Diesel,10961,R11,1.0,1405.75
C,4.0,10,27.0,100,B2,Regular,376,R93,1.0,787.66
D,5.0,2,26.0,100,B12,Diesel,1412,R83,1.0,191.15
A,12.0,4,69.0,50,B12,Diesel,7,R93,1.0,5340.29
E,11.0,0,37.0,50,B12,Regular,3430,R93,1.0,378.33
D,11.0,0,,50,B12,Diesel,1248,R11,2.0,16093.225
C,7.0,0,49.0,50,B12,Diesel,113,R91,1.0,830.36
E,7.0,0,32.0,80,B12,Regular,3317,R93,1.0,3950.26
E,9.0,0,34.0,100,B12,Regular,9307,R82,1.0,1662.96
D,6.0,5,47.0,70,B5,Diesel,1021,R25,1.0,680.7
D,11.0,6,46.0,50,B1,Diesel,1422,R82,1.0,600.21
D,9.0,0,34.0,55,B12,Regular,824,R91,1.0,594.76
D,6.0,8,23.0,100,B1,Diesel,800,R72,1.0,83.14
C,7.0,0,43.0,50,B12,Regular,188,R22,1.0,553.22
B,7.0,4,,50,B6,Regular,56,R11,1.0,2031.77
F,6.0,0,42.0,90,B12,Regular,17140,R11,1.0,893.56
E,5.0,6,32.0,71,B1,Regular,3274,R11,1.0,90.24
D,6.0,0,41.0,51,B12,Regular,1370,R73,1.0,581.21
E,6.0,0,41.0,75,B2,Diesel,3744,R93,1.0,83.87
E,5.0,8,18.0,100,B5,Diesel,2498,R72,2.0,587.5
C,7.0,0,44.0,58,B12,Diesel,458,R93,1.0,579.14
D,5.0,2,55.0,50,B12,Diesel,966,R26,1.0,407.09
D,6.0,0,31.0,51,B12,Regular,675,R91,1.0,891.75
E,4.0,3,36.0,100,B1,Regular,2537,R31,1.0,647.34
C,15.0,10,36.0,50,B12,Regular,256,R82,1.0,2101.04
E,7.0,2,33.0,100,B2,Diesel,5460,R11,1.0,74.23
E,6.0,0,73.0,58,B12,Regular,4762,R93,1.0,2767.64
C,5.0,0,53.0,64,B12,Regular,102,R93,1.0,734.81
B,6.0,2,,50,B12,Diesel,97,R52,1.0,626.68
A,10.0,1,54.0,66,B12,Regular,20,R82,1.0,742.73
,8.0,4,28.0,68,B12,Regular,824,R91,1.0,79.86
,6.0,3,45.0,50,B12,Regular,2618,R22,1.0,746.84
C,7.0,9,49.0,50,B12,Diesel,330,R93,1.0,72.93
,4.0,0,31.0,60,B12,Regular,653,R82,1.0,712.13
C,10.0,1,56.0,50,B12,Regular,159,R91,1.0,564.45
E,7.0,0,75.0,50,B12,Regular,6902,R41,1.0,1449.64
C,4.0,0,51.0,50,B12,Regular,100,R54,1.0,1037.95
F,5.0,0,60.0,50,B12,Regular,12750,R11,1.0,1181.77
D,4.0,7,78.0,62,B6,Regular,1541,R91,1.0,1284.45
B,7.0,4,22.0,100,B5,Regular,53,R26,1.0,1826.34
,5.0,0,25.0,72,B12,Regular,515,R54,1.0,343.21
B,10.0,10,24.0,80,B12,Regular,72,R72,1.0,6241.73
C,8.0,9,56.0,50,B6,Diesel,272,R72,1.0,1128.12
D,7.0,1,63.0,50,B1,Diesel,1062,R83,1.0,1626.6
C,5.0,4,42.0,50,B1,Regular,361,R23,1.0,109.38
,4.0,13,36.0,58,B2,Regular,229,R53,1.0,1128.12
E,5.0,4,46.0,50,B6,Regular,4116,R24,1.0,3560.09
,4.0,8,56.0,61,B5,Regular,1284,R25,2.0,603.26
C,7.0,12,44.0,52,B1,Regular,399,R24,1.0,1006.88
C,7.0,13,44.0,65,B1,Regular,399,R24,1.0,1128.12
